domain,port
as.dongguk.edu,None
www.at.dongguk.edu,None
ace.dongguk.edu,80
8877.dongguk.edu,80
ai.dongguk.edu,80
aiicc.dongguk.edu,80
www.dongguk.edu,80
at.dongguk.edu,80
admission.dongguk.edu,80
acc.dongguk.edu,80
abc.dongguk.edu,80
antispam.dongguk.edu,80
archi.dongguk.edu,80
art.dongguk.edu,80
www.bfsl.dongguk.edu,None
bicdata.dongguk.edu,None
bfsl.dongguk.edu,80
abchome.dongguk.edu,80
www.bnm.dongguk.edu,None
change.dongguk.edu,None
bigdata.dongguk.edu,80
bmc.dongguk.edu,80
bmclife.dongguk.edu,80
bnm.dongguk.edu,80
bk21plus.dongguk.edu,80
bio.dongguk.edu,80
booklib.dongguk.edu,80
www.chembio.dongguk.edu,None
caps.dongguk.edu,80
cblab.dongguk.edu,80
cdc.dongguk.edu,80
cdcold.dongguk.edu,80
chembio.dongguk.edu,80
cerslab.dongguk.edu,80
www.comm.dongguk.edu,None
chembioeng.dongguk.edu,80
cilab.dongguk.edu,80
chembio-ck.dongguk.edu,80
civil.dongguk.edu,80
comm.dongguk.edu,80
counseling.dongguk.edu,80
china.dongguk.edu,80
cnc.dongguk.edu,80
cse.dongguk.edu,80
clinic.dongguk.edu,80
www.dei.dongguk.edu,None
dcol.dongguk.edu,80
db.dongguk.edu,80
dee.dongguk.edu,80
dei.dongguk.edu,80
www.dgucoop.dongguk.edu,None
www.dgyec.dongguk.edu,None
deis.dongguk.edu,80
dgs.dongguk.edu,80
dgucoop.dongguk.edu,80
www.dui.dongguk.edu,None
dic.dongguk.edu,80
dgyec.dongguk.edu,80
dharma.dongguk.edu,80
www.dutebm.dongguk.edu,None
dong-ari.dongguk.edu,80
duce.dongguk.edu,80
dui.dongguk.edu,80
dume.dongguk.edu,80
www.duterm.dongguk.edu,None
dutebm.dongguk.edu,80
durib.dongguk.edu,80
www.dvic.dongguk.edu,None
dmicweb.dongguk.edu,80
duterm.dongguk.edu,80
dutv.dongguk.edu,80
dvic.dongguk.edu,80
eclasstest.dongguk.edu,None
ebook.dongguk.edu,80
ebook2.dongguk.edu,80
eclass.dongguk.edu,80
eclass2.dongguk.edu,80
www.ei.dongguk.edu,None
ecr.dongguk.edu,80
dongari.dongguk.edu,80
edu.dongguk.edu,80
edulife.dongguk.edu,80
www.engineer.dongguk.edu,None
ei.dongguk.edu,80
emsl.dongguk.edu,80
engineer.dongguk.edu,80
fc.dongguk.edu,80
filer.dongguk.edu,80
fcdev.dongguk.edu,80
food.dongguk.edu,80
fin.dongguk.edu,80
gaia.dongguk.edu,80
geoedu.dongguk.edu,80
gifted.dongguk.edu,80
gm.dongguk.edu,80
gs.dongguk.edu,80
graphics.dongguk.edu,80
graphic.dongguk.edu,80
grrc.dongguk.edu,80
gsca.dongguk.edu,80
gsl.dongguk.edu,80
gspa.dongguk.edu,80
gt.dongguk.edu,80
gw01.dongguk.edu,80
gw02.dongguk.edu,80
gwmail.dongguk.edu,80
gwmail01.dongguk.edu,80
hkplus.dongguk.edu,80
homeedu.dongguk.edu,80
www.icampus.dongguk.edu,None
hri.dongguk.edu,80
icampus.dongguk.edu,80
humanrights.dongguk.edu,80
hometax.dongguk.edu,80
ibc.dongguk.edu,80
www.ics.dongguk.edu,None
ice.dongguk.edu,80
gmailinfo.dongguk.edu,80
iceed.dongguk.edu,80
ics.dongguk.edu,80
ikb.dongguk.edu,80
ijbtc.dongguk.edu,80
ilove.dongguk.edu,80
www.interlang.dongguk.edu,None
innodata.dongguk.edu,80
interlang.dongguk.edu,80
interlangcn.dongguk.edu,80
internship.dongguk.edu,80
intern.dongguk.edu,80
ipp.dongguk.edu,80
ipsi.dongguk.edu,80
interlangen.dongguk.edu,80
irbe.dongguk.edu,80
ise.dongguk.edu,80
isms.dongguk.edu,80
it.dongguk.edu,80
its.dongguk.edu,None
itrade.dongguk.edu,80
itcec.dongguk.edu,80
jr.dongguk.edu,None
jcrc.dongguk.edu,80
job.dongguk.edu,80
*.kproxy.dongguk.edu,None
kabc.dongguk.edu,80
justice.dongguk.edu,80
lib.dongguk.edu,80
libmid.dongguk.edu,80
libsrv.dongguk.edu,None
lincplus.dongguk.edu,80
life.dongguk.edu,80
lifescience.dongguk.edu,80
m.dongguk.edu,80
macl.dongguk.edu,80
lotusfood.dongguk.edu,80
www.macl.dongguk.edu,None
macs.dongguk.edu,80
mail.dongguk.edu,80
www.kinlab.dongguk.edu,80
manhae.dongguk.edu,80
mailinfo.dongguk.edu,80
kinlab.dongguk.edu,80
manhae2003.dongguk.edu,80
www.manhae2003.dongguk.edu,None
marte.dongguk.edu,80
mba.dongguk.edu,80
mbooklib.dongguk.edu,80
mbt.dongguk.edu,80
me.dongguk.edu,80
mecha.dongguk.edu,80
med.dongguk.edu,80
www.med.dongguk.edu,None
mip.dongguk.edu,80
mis.dongguk.edu,80
mme.dongguk.edu,80
a.mme.dongguk.edu,None
3d.dongguk.edu,None
apel.dongguk.edu,None
pub.mme.dongguk.edu,80
mo.dongguk.edu,80
model.dongguk.edu,80
www.model.dongguk.edu,None
movie.dongguk.edu,80
www.movie.dongguk.edu,None
mpp.dongguk.edu,80
www.mpp.dongguk.edu,None
mypc.dongguk.edu,None
nbt.dongguk.edu,80
www.nbt.dongguk.edu,None
nf.dongguk.edu,80
eml.dongguk.edu,80
ngw.dongguk.edu,None
epf.dongguk.edu,80
nita.dongguk.edu,80
ftceo.dongguk.edu,None
normscience.dongguk.edu,80
ns.dongguk.edu,80
ns2.dongguk.edu,80
nuixitrc.dongguk.edu,80
ocw.dongguk.edu,80
ocw2.dongguk.edu,80
ols.dongguk.edu,80
oz.dongguk.edu,None
pa.dongguk.edu,80
pe.dongguk.edu,80
pharm.dongguk.edu,80
pharmind.dongguk.edu,80
irobot.dongguk.edu,80
plass.dongguk.edu,80
www.pharmind.dongguk.edu,None
police.dongguk.edu,80
www.police.dongguk.edu,None
portal.dongguk.edu,80
mail2.dongguk.edu,80
maker.dongguk.edu,None
qsrc.dongguk.edu,None
r-find.dongguk.edu,80
rnd.dongguk.edu,80
meic.dongguk.edu,None
argon.dongguk.edu,None
azul.dongguk.edu,None
rule.dongguk.edu,80
safe.dongguk.edu,80
sanhak.dongguk.edu,80
buddha.dongguk.edu,None
sba.dongguk.edu,80
scholarship.dongguk.edu,80
science.dongguk.edu,80
class.dongguk.edu,None
scsd.dongguk.edu,80
dguk.dongguk.edu,None
ecampus.dongguk.edu,None
security.dongguk.edu,80
www.scps.dongguk.edu,80
shprc.dongguk.edu,80
mgw.ngw.dongguk.edu,80
scps.dongguk.edu,80
otrcid.dongguk.edu,80
www.se.dongguk.edu,80
se.dongguk.edu,80
imap.dongguk.edu,None
sophia.dongguk.edu,80
*.sproxy.dongguk.edu,None
sotong.dongguk.edu,80
lps3.scholar.google.com.sproxy.dongguk.edu,80
pos.libsteps.com.sproxy.dongguk.edu,80
www.dbpia.co.kr.sproxy.dongguk.edu,80
srd.dongguk.edu,80
startup.dongguk.edu,80
libproxy.dongguk.edu,None
www.startup.dongguk.edu,None
step.dongguk.edu,80
studyen.dongguk.edu,80
sugang.dongguk.edu,None
sung.dongguk.edu,80
superintelligence.dongguk.edu,80
sw.dongguk.edu,80
portal1.dongguk.edu,80
swas.dongguk.edu,80
portal2.dongguk.edu,80
swc.dongguk.edu,80
templefood.dongguk.edu,80
theatre.dongguk.edu,80
tportal.dongguk.edu,None
trans-division.dongguk.edu,80
ucloud-lab.dongguk.edu,80
udrims.dongguk.edu,80
union.dongguk.edu,80
www.union.dongguk.edu,None
uniondev.dongguk.edu,None
vn.dongguk.edu,80
vod.dongguk.edu,80
vc.dongguk.edu,80
volunteers.dongguk.edu,80
www.who.dongguk.edu,None
rojo.dongguk.edu,None
who.dongguk.edu,80
who2.dongguk.edu,80
wudrims.dongguk.edu,80
www.who2.dongguk.edu,None
media.dongguk.edu,None
linux.mme.dongguk.edu,None
eduedi.dongguk.edu,None
unix.mme.dongguk.edu,None
site.dongguk.edu,80
smartid.dongguk.edu,80
pdalgo.dongguk.edu,None
soc.dongguk.edu,None
pop3.dongguk.edu,None
rotc.dongguk.edu,None
smartceo.dongguk.edu,None
scratch.dongguk.edu,None
smdlab.dongguk.edu,None
smtp.dongguk.edu,None
srl.dongguk.edu,None
wnl.dongguk.edu,None
