domain,ports,ip_address,ip_class,ssl_infomation,WAS
as.dongguk.edu,,,,,
abchome.dongguk.edu,"[80, 443]",210.94.174.12,C,"('GlobalSign RSA OV SSL CA 2018', '2021-02-03 00:23:49', '2022-03-07 00:23:49')",Apache/2.4.10 (Win32) OpenSSL/1.0.1i PHP/5.5.19
www.at.dongguk.edu,,,,,
ai.dongguk.edu,"[80, 443]",210.94.194.114,C,"('www.example.com', '2020-08-28 15:55:56', '2030-08-26 15:55:56')",Apache
acc.dongguk.edu,"[80, 443]",210.94.176.204,C,"('GlobalSign RSA OV SSL CA 2018', '2021-02-03 00:23:49', '2022-03-07 00:23:49')",Apache
ace.dongguk.edu,"[80, 443]",115.68.17.172,A,"('Sectigo RSA Domain Validation Secure Server CA', '2021-05-17 00:00:00', '2022-05-31 23:59:59')",Microsoft-IIS/7.0
at.dongguk.edu,"[80, 443]",183.111.182.200,B,"('Sectigo RSA Domain Validation Secure Server CA', '2020-12-03 00:00:00', '2021-12-03 23:59:59')",nginx
8877.dongguk.edu,"[80, 443]",210.94.176.160,C,,Apache-Coyote/1.1
art.dongguk.edu,"[80, 443]",210.94.176.205,C,"('GlobalSign RSA OV SSL CA 2018', '2021-02-03 00:23:49', '2022-03-07 00:23:49')",Apache/2.2.15 (CentOS)
antispam.dongguk.edu,"[80, 443]",210.94.190.61,C,"('GlobalSign RSA OV SSL CA 2018', '2021-02-03 00:23:49', '2022-03-07 00:23:49')",Apache
archi.dongguk.edu,"[80, 443]",210.94.176.204,C,"('GlobalSign RSA OV SSL CA 2018', '2021-02-03 00:23:49', '2022-03-07 00:23:49')",Apache
admission.dongguk.edu,"[80, 443]",210.94.190.35,C,"('GlobalSign RSA OV SSL CA 2018', '2021-02-03 00:23:49', '2022-03-07 00:23:49')",IBM_HTTP_Server
www.dongguk.edu,"[80, 443]",210.94.190.35,C,"('GlobalSign RSA OV SSL CA 2018', '2021-02-03 00:23:49', '2022-03-07 00:23:49')",IBM_HTTP_Server
abc.dongguk.edu,"[80, 443]",210.94.174.12,C,"('GlobalSign RSA OV SSL CA 2018', '2021-02-03 00:23:49', '2022-03-07 00:23:49')",Apache/2.4.10 (Win32) OpenSSL/1.0.1i PHP/5.5.19
www.bfsl.dongguk.edu,,,,,
bfsl.dongguk.edu,"[80, 443]",183.111.174.43,B,"('Sectigo RSA Domain Validation Secure Server CA', '2021-03-21 00:00:00', '2022-03-21 23:59:59')",nginx
