 --batch -u http://192.168.56.101/awstats/awstats.pl?config=owaspbwa
 --batch -u http://192.168.56.101/main?function=Introduction
 --batch -u http://192.168.56.101/index.php?page=home.php&popUpNotificationCode=HPH0
 --batch -u http://192.168.56.101/./index.php?page=installation.php
 --batch -u http://192.168.56.101/iframe.php?page=form.php
 --batch -u http://192.168.56.101//1266573043/snippets.gtl?uid=cheddar
 --batch -u http://192.168.56.101//WackoPicko/users/sample.php?userid=1
 --batch -u http://192.168.56.101//WackoPicko/admin/index.php?page=login
 --batch -u http://192.168.56.101/product.jsp?typeid=6
 --batch -u http://192.168.56.101//peruggia/index.php?action=login
 --batch -u http://192.168.56.101/feed:http://192.168.56.101/wordpress/?feed=rss2
 --batch -u http://192.168.56.101/redirect.php?id=2
 --batch -u http://192.168.56.101/tags.php?tag=owasp
 --batch -u http://192.168.56.101/userb.php?uname=user
 --batch -u http://192.168.56.101/comment.php?bID=2
 --batch -u http://192.168.56.101/recent_tags.php?display=20
 --batch -u http://192.168.56.101/item.php?type=n
 --batch -u http://192.168.56.101/project.php?type=p
 --batch -u http://192.168.56.101/listProjects.php?pType=p
 --batch -u http://192.168.56.101/listItems.php?type=n
 --batch -u http://192.168.56.101/projectReport.php?projectId=3
 --batch -u http://192.168.56.101/viewForum.jsp?forum=1
 --batch -u http://192.168.56.101/main.php?g2_view=core.UserAdmin&g2_subView=core.UserLogin&g2_return=main.php%3F&&g2_returnName=album
 --batch -u http://192.168.56.101/tiki-editpage.php?page=sandbox
 --batch -u http://192.168.56.101/tiki-user_information.php?view_user=admin
 --batch -u http://192.168.56.101/tiki-pagehistory.php?page=HomePage&source=0
 --batch -u http://192.168.56.101/tiki-likepages.php?page=HomePage
 --batch -u http://192.168.56.101/tiki-featured_link.php?type=f&url=https%3A%2F%2Fwww.owasp.org%2Findex.php%2FOWASP_Broken_Web_Applications_Project
 -u http://192.168.56.101/sessions --batch --data="utf8=1&authenticity_token=1&url=1&email=1&password=1&remember_me=True" -p utf8,authenticity_token,url,email,password
 -u http://192.168.56.101//bWAPP/login.php --batch --data="login=1&password=1&security_level=0" -p login,password
 -u http://192.168.56.101/login.php --batch --data="username=1&password=1" -p username,password
 -u http://192.168.56.101//WackoPicko/pictures/search.php --batch --data="username=1&password=1" -p username,password
 -u http://192.168.56.101/wordpress/ --batch --data="username=1&password=1" -p username,password
 -u http://192.168.56.101/./login.php --batch --data="actionID=1&txtUserName=1&txtPassword=1&Submit=1&clear=1" -p actionID,txtUserName,txtPassword,Submit,clear
 -u http://192.168.56.101/psearch.php --batch --data="actionID=1&txtUserName=1&txtPassword=1&Submit=1&clear=1" -p actionID,txtUserName,txtPassword,Submit,clear
 -u http://192.168.56.101/login.php --batch --data="login=1&password=1&remember=True" -p login,password
 -u http://192.168.56.101/main.php --batch --data="g2_returnName=1&g2_return=1&g2_formUrl=1&g2_view=1&g2_form[formName]=1&g2_form[searchCriteria]=1&g2_form[useDefaultSettings]=1" -p g2_returnName,g2_return,g2_formUrl,g2_view,g2_form[formName],g2_form[searchCriteria],g2_form[useDefaultSettings]
 -u http://192.168.56.101/tiki-login.php --batch --data="user=1&pass=1&stay_in_ssl_mode=1" -p user,pass,stay_in_ssl_mode
 -u http://192.168.56.101/Login --batch --data="username=1&password=1" -p username,password
 -u http://192.168.56.101/forgot_password --batch --data="utf8=1&authenticity_token=1&email=1" -p utf8,authenticity_token,email
 -u http://192.168.56.101//1266573043/login --batch --data="utf8=1&authenticity_token=1&email=1" -p utf8,authenticity_token,email
 -u http://192.168.56.101//1266573043/saveprofile --batch --data="utf8=1&authenticity_token=1&email=1" -p utf8,authenticity_token,email
 -u http://192.168.56.101//WackoPicko/users/login.php --batch --data="username=1&password=1" -p username,password
 -u http://192.168.56.101//WackoPicko/users/login.php --batch --data="username=1&password=1" -p username,password
 -u http://192.168.56.101//WackoPicko/guestbook.php --batch --data="name=1" -p name
 -u http://192.168.56.101//WackoPicko/users/login.php --batch --data="username=1&password=1" -p username,password
 -u http://192.168.56.101//WackoPicko/users/register.php --batch --data="username=1&firstname=1&lastname=1&password=1&againpass=1" -p username,firstname,lastname,password,againpass
 -u http://192.168.56.101/wp-register.php --batch --data="action=1&user_login=1&user_email=1" -p action,user_login,user_email
 -u http://192.168.56.101/wp-login.php --batch --data="log=1&pwd=1&rememberme=True&redirect_to=1" -p log,pwd,redirect_to
 -u http://192.168.56.101//mandiant-struts-form-vulnerable/submitname.do;jsessionid=3C2CC0B8A7F119C8096A2F8CB398DDC9 --batch --data="log=1&pwd=1&rememberme=True&redirect_to=1" -p log,pwd,redirect_to
 -u http://192.168.56.101//mandiant-struts-form-incomplete-blacklist/submitname.do;jsessionid=573585C32D61A7E436014683890C42E6 --batch --data="log=1&pwd=1&rememberme=True&redirect_to=1" -p log,pwd,redirect_to
 -u http://192.168.56.101//mandiant-struts-validatorform/submitname.do;jsessionid=6CBDF788D6621831B8CAEEF5D0F304A7 --batch --data="log=1&pwd=1&rememberme=True&redirect_to=1" -p log,pwd,redirect_to
 -u http://192.168.56.101//mandiant-struts-validatorform-with-javascript/submitname.do;jsessionid=2C952359043996740E4CBA8959B75DAC --batch --data="log=1&pwd=1&rememberme=True&redirect_to=1" -p log,pwd,redirect_to
 -u http://192.168.56.101//WackoPicko/passcheck.php --batch --data="password=1" -p password
 -u http://192.168.56.101//CSRFGuardTestApp/HelloWorld --batch --data="name=1" -p name
 -u http://192.168.56.101//CSRFGuardTestAppVulnerable/HelloWorld --batch --data="name=1" -p name
