 -f default -u http://192.168.56.101/awstats/awstats.pl?config=owaspbwa
 -f default -u http://192.168.56.101/main?function=Introduction
 -f default -u http://192.168.56.101/index.php?page=home.php&popUpNotificationCode=HPH0
 -f default -u http://192.168.56.101/./index.php?page=installation.php
 -f default -u http://192.168.56.101/iframe.php?page=form.php
 -f default -u http://192.168.56.101//1266573043/snippets.gtl?uid=cheddar
 -f default -u http://192.168.56.101//WackoPicko/users/sample.php?userid=1
 -f default -u http://192.168.56.101//WackoPicko/admin/index.php?page=login
 -f default -u http://192.168.56.101/product.jsp?typeid=6
 -f default -u http://192.168.56.101//peruggia/index.php?action=login
 -f default -u http://192.168.56.101/feed:http://192.168.56.101/wordpress/?feed=rss2
 -f default -u http://192.168.56.101/redirect.php?id=2
 -f default -u http://192.168.56.101/tags.php?tag=owasp
 -f default -u http://192.168.56.101/userb.php?uname=user
 -f default -u http://192.168.56.101/comment.php?bID=2
 -f default -u http://192.168.56.101/recent_tags.php?display=20
 -f default -u http://192.168.56.101/item.php?type=n
 -f default -u http://192.168.56.101/project.php?type=p
 -f default -u http://192.168.56.101/listProjects.php?pType=p
 -f default -u http://192.168.56.101/listItems.php?type=n
 -f default -u http://192.168.56.101/projectReport.php?projectId=3
 -f default -u http://192.168.56.101/viewForum.jsp?forum=1
 -f default -u http://192.168.56.101/main.php?g2_view=core.UserAdmin&g2_subView=core.UserLogin&g2_return=main.php%3F&&g2_returnName=album
 -f default -u http://192.168.56.101/tiki-editpage.php?page=sandbox
 -f default -u http://192.168.56.101/tiki-user_information.php?view_user=admin
 -f default -u http://192.168.56.101/tiki-pagehistory.php?page=HomePage&source=0
 -f default -u http://192.168.56.101/tiki-likepages.php?page=HomePage
 -f default -u http://192.168.56.101/tiki-featured_link.php?type=f&url=https%3A%2F%2Fwww.owasp.org%2Findex.php%2FOWASP_Broken_Web_Applications_Project
 -u http://192.168.56.101/sessions -f default --data="utf8=1&authenticity_token=1&url=1&email=1&password=1&remember_me=True
 -u http://192.168.56.101//bWAPP/login.php -f default --data="login=1&password=1&security_level=0
 -u http://192.168.56.101/login.php -f default --data="username=1&password=1
 -u http://192.168.56.101//WackoPicko/pictures/search.php -f default --data="username=1&password=1
 -u http://192.168.56.101/wordpress/ -f default --data="username=1&password=1
 -u http://192.168.56.101/./login.php -f default --data="actionID=1&txtUserName=1&txtPassword=1&Submit=1&clear=1
 -u http://192.168.56.101/psearch.php -f default --data="actionID=1&txtUserName=1&txtPassword=1&Submit=1&clear=1
 -u http://192.168.56.101/login.php -f default --data="login=1&password=1&remember=True
 -u http://192.168.56.101/main.php -f default --data="g2_returnName=1&g2_return=1&g2_formUrl=1&g2_view=1&g2_form[formName]=1&g2_form[searchCriteria]=1&g2_form[useDefaultSettings]=1
 -u http://192.168.56.101/tiki-login.php -f default --data="user=1&pass=1&stay_in_ssl_mode=1
 -u http://192.168.56.101/Login -f default --data="username=1&password=1
 -u http://192.168.56.101/forgot_password -f default --data="utf8=1&authenticity_token=1&email=1
 -u http://192.168.56.101//1266573043/login -f default --data="utf8=1&authenticity_token=1&email=1
 -u http://192.168.56.101//1266573043/saveprofile -f default --data="utf8=1&authenticity_token=1&email=1
 -u http://192.168.56.101//WackoPicko/users/login.php -f default --data="username=1&password=1
 -u http://192.168.56.101//WackoPicko/users/login.php -f default --data="username=1&password=1
 -u http://192.168.56.101//WackoPicko/guestbook.php -f default --data="name=1
 -u http://192.168.56.101//WackoPicko/users/login.php -f default --data="username=1&password=1
 -u http://192.168.56.101//WackoPicko/users/register.php -f default --data="username=1&firstname=1&lastname=1&password=1&againpass=1
 -u http://192.168.56.101/wp-register.php -f default --data="action=1&user_login=1&user_email=1
 -u http://192.168.56.101/wp-login.php -f default --data="log=1&pwd=1&rememberme=True&redirect_to=1
 -u http://192.168.56.101//mandiant-struts-form-vulnerable/submitname.do;jsessionid=3C2CC0B8A7F119C8096A2F8CB398DDC9 -f default --data="log=1&pwd=1&rememberme=True&redirect_to=1
 -u http://192.168.56.101//mandiant-struts-form-incomplete-blacklist/submitname.do;jsessionid=573585C32D61A7E436014683890C42E6 -f default --data="log=1&pwd=1&rememberme=True&redirect_to=1
 -u http://192.168.56.101//mandiant-struts-validatorform/submitname.do;jsessionid=6CBDF788D6621831B8CAEEF5D0F304A7 -f default --data="log=1&pwd=1&rememberme=True&redirect_to=1
 -u http://192.168.56.101//mandiant-struts-validatorform-with-javascript/submitname.do;jsessionid=2C952359043996740E4CBA8959B75DAC -f default --data="log=1&pwd=1&rememberme=True&redirect_to=1
 -u http://192.168.56.101//WackoPicko/passcheck.php -f default --data="password=1
 -u http://192.168.56.101//CSRFGuardTestApp/HelloWorld -f default --data="name=1
 -u http://192.168.56.101//CSRFGuardTestAppVulnerable/HelloWorld -f default --data="name=1
